seed.source,pedigree,geno,year,rep,male,female,stand,midHeight,midWidth,height,width,flw,dlw,frw,drw
ST404-4,(S.C. x Nbh2189B) x L6038B,4,2,1,1,4,2,41.66666667,59.33333333,40.5,57.33333333,17.60333333,2.19,160.27,14.63
ST404-4,(S.C. x Nbh2189B) x L6038B,4,3,1,1,4,3,23.5,34.83333333,43.33333333,48.33333333,19.21,1.936666667,77.97,8.453333333
ST404-4,(S.C. x Nbh2189B) x L6038B,4,1,2,1,4,3,32,48.33333333,33.83333333,43.16666667,11.06,1.756666667,66.96666667,8.333333333
ST404-4,(S.C. x Nbh2189B) x L6038B,4,2,2,1,4,1,33.16666667,45.33333333,36,54.66666667,31.37333333,4.433333333,264.5633333,25.57333333
ST404-4,(S.C. x Nbh2189B) x L6038B,4,3,2,1,4,2.5,25.5,36.5,43,49.5,14.50333333,1.32,40.70333333,4.306666667
ST408-4,(S.C. x Nbh2189B) x L7550B,10,1,1,2,4,3,39.83333333,53.66666667,47.16666667,66.5,20.32,3.103333333,101.8,12.31
ST408-4,(S.C. x Nbh2189B) x L7550B,10,2,1,2,4,3,47.5,72.33333333,48.83333333,72,14.68666667,2.036666667,86.87333333,11.47333333
ST408-4,(S.C. x Nbh2189B) x L7550B,10,3,1,2,4,2.5,31,42,54.5,65.83333333,12.92666667,1.253333333,27.42333333,2.653333333
ST408-4,(S.C. x Nbh2189B) x L7550B,10,1,2,2,4,3,39.83333333,48.83333333,43.33333333,53,15.40333333,2.383333333,70.91,9.083333333
ST408-4,(S.C. x Nbh2189B) x L7550B,10,2,2,2,4,3,51,74,43.5,68.66666667,35.04,5.646666667,205.0566667,25.49
ST408-4,(S.C. x Nbh2189B) x L7550B,10,3,2,2,4,3,30.33333333,33.66666667,50,57,23.34,2.63,66.35333333,6.98
ST401-4,(S.C. x Nbh2189B) x P0159B,16,1,1,3,4,2,39.5,48,58,68.33333333,70.37333333,8.606666667,180.31,22.80666667
ST401-4,(S.C. x Nbh2189B) x P0159B,16,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST501-4,(S.C. x Nbh2189B) x P0159B,16,3,1,3,4,2,24.83333333,35.5,57.5,54.33333333,68.90333333,9.323333333,151.2233333,19.04666667
ST401-4,(S.C. x Nbh2189B) x P0159B,16,1,2,3,4,1,42,56,61.33333333,57,101.5666667,14.23666667,234.3633333,32.17
ST401-4,(S.C. x Nbh2189B) x P0159B,16,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST501-4,(S.C. x Nbh2189B) x P0159B,16,3,2,3,4,2,24.33333333,37,62,64.33333333,49.93666667,5.676666667,100.0666667,12.49
ST403-1,Nbh2189B,22,1,1,4,4,3,32.66666667,47.66666667,52.66666667,63.5,32.02333333,4.333333333,77.52333333,9.33
ST403-1,Nbh2189B,22,2,1,4,4,2,46.83333333,59.5,43.83333333,54,14.38,1.61,104.4,11.78666667
ST403-1,Nbh2189B,22,3,1,4,4,2.5,22.16666667,30.83333333,53.16666667,55,41.35666667,5.18,55.19333333,6.47
ST403-1,Nbh2189B,22,1,2,4,4,3,30.16666667,38,48,58,25.84666667,3.893333333,69.1,9.24
ST403-1,Nbh2189B,22,2,2,4,4,1.5,39.5,48.66666667,31,65,13.76666667,1.686666667,107.8666667,13.63333333
ST403-1,Nbh2189B,22,3,2,4,4,1.5,19.5,27.66666667,56.33333333,64.66666667,35.82,3.97,29.29333333,2.993333333
ST405-4,(S.C. x Nbh2189B) x P6139B,28,1,1,5,4,2,43.33333333,57.66666667,43.83333333,54,20.865,3.23,104.75,14.45
ST405-4,(S.C. x Nbh2189B) x P6139B,28,2,1,5,4,2,67.66666667,72,63.66666667,90,49.88333333,7.463333333,265.8166667,31.78
ST405-4,(S.C. x Nbh2189B) x P6139B,28,3,1,5,4,2.5,27.83333333,33.16666667,61,59.66666667,45.31666667,5.74,81.03333333,9.52
ST405-4,(S.C. x Nbh2189B) x P6139B,28,1,2,5,4,3,45.5,50,57,71.83333333,29.45333333,4.226666667,125.8,16.22666667
ST405-4,(S.C. x Nbh2189B) x P6139B,28,2,2,5,4,2.5,58,83.33333333,56.83333333,71.66666667,47.21,6.556666667,228.1633333,22.74
ST405-4,(S.C. x Nbh2189B) x P6139B,28,3,2,5,4,3,33,40,65,66.66666667,39.97333333,4.816666667,71.43333333,7.72
ST407-4,(S.C. x Nbh2189B) x 7262B,34,1,1,6,4,1,26.16666667,50.33333333,55,63,192.0533333,26.28666667,218.6,29.41
ST407-4,(S.C. x Nbh2189B) x 7262B,34,2,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST507-4,(S.C. x Nbh2189B) x 7262B,34,3,1,6,4,1.5,19.66666667,36.16666667,70.33333333,69.66666667,47.81666667,6.1,57.11666667,7.833333333
ST407-4,(S.C. x Nbh2189B) x 7262B,34,1,2,6,4,2,34.83333333,52.66666667,48,62,93.52,12.26,164.57,21.385
